"","Municipality","Fertility.Rate","socio_economic_class","Age","Children","Age_Group"
"93","Aabenraa",1.63396747516482,"3",49,2,"2529"
"94","Aabenraa",1.63396747516482,"3",49,2,"3034"
"95","Aabenraa",1.70382449698543,"2",49,4,"2024"
"96","Aabenraa",1.70382449698543,"2",49,4,"2529"
"97","Aabenraa",1.70382449698543,"2",49,4,"2529"
"98","Aabenraa",1.70382449698543,"2",49,4,"3034"
"99","Aabenraa",1.68834561309171,"1",49,4,"2024"
"100","Aabenraa",1.68834561309171,"1",49,4,"2529"
"101","Aabenraa",1.68834561309171,"1",49,4,"3034"
"102","Aabenraa",1.68834561309171,"1",49,4,"3034"
"103","Aabenraa",1.68342104392622,"3",49,2,"2529"
"104","Aabenraa",1.68342104392622,"3",49,2,"3539"
"105","Aabenraa",1.94340848541878,"3",49,2,"2529"
"106","Aabenraa",1.94340848541878,"3",49,2,"3034"
"107","Aabenraa",1.61795266968559,"3",49,4,"2529"
"108","Aabenraa",1.61795266968559,"3",49,4,"3034"
"109","Aabenraa",1.61795266968559,"3",49,4,"3034"
"110","Aabenraa",1.61795266968559,"3",49,4,"4044"
"111","Aabenraa",1.37364489874975,"1",49,3,"2529"
"112","Aabenraa",1.37364489874975,"1",49,3,"3034"
"113","Aabenraa",1.37364489874975,"1",49,3,"3034"
"114","Aabenraa",1.68602318149119,"1",49,1,"3034"
"115","Aabenraa",1.6054101718494,"1",49,3,"2024"
"116","Aabenraa",1.6054101718494,"1",49,3,"2024"
"117","Aabenraa",1.6054101718494,"1",49,3,"3034"
"118","Aabenraa",1.81916093460268,"2",49,2,"2529"
"119","Aabenraa",1.81916093460268,"2",49,2,"2529"
"120","Aabenraa",1.31572688803071,"1",49,1,"2024"
"121","Aabenraa",1.71697056511634,"2",49,1,"2529"
"122","Aabenraa",1.71842149161729,"3",49,1,"2529"
"123","Aabenraa",2.05221901216386,"1",49,1,"3539"
"124","Aabenraa",1.51354044629278,"1",49,2,"3034"
"125","Aabenraa",1.51354044629278,"1",49,2,"3539"
"126","Aabenraa",1.87737838791312,"3",49,2,"2529"
"127","Aabenraa",1.87737838791312,"3",49,2,"2529"
"128","Aabenraa",1.68343007820162,"3",49,4,"2529"
"129","Aabenraa",1.68343007820162,"3",49,4,"3034"
"130","Aabenraa",1.68343007820162,"3",49,4,"3539"
"131","Aabenraa",1.68343007820162,"3",49,4,"3539"
"132","Aabenraa",1.95607958218586,"3",49,2,"2024"
"133","Aabenraa",1.95607958218586,"3",49,2,"2529"
"134","Aabenraa",1.94254236465813,"3",49,3,"2024"
"135","Aabenraa",1.94254236465813,"3",49,3,"3034"
"136","Aabenraa",1.94254236465813,"3",49,3,"3034"
"137","Aabenraa",1.67188623942896,"3",49,4,"1519"
"138","Aabenraa",1.67188623942896,"3",49,4,"2529"
"139","Aabenraa",1.67188623942896,"3",49,4,"3034"
"140","Aabenraa",1.67188623942896,"3",49,4,"3539"
"141","Aabenraa",1.79433460881417,"2",49,7,"2529"
"142","Aabenraa",1.79433460881417,"2",49,7,"2529"
"143","Aabenraa",1.79433460881417,"2",49,7,"2529"
"144","Aabenraa",1.79433460881417,"2",49,7,"2529"
"145","Aabenraa",1.79433460881417,"2",49,7,"3034"
"146","Aabenraa",1.79433460881417,"2",49,7,"3034"
"147","Aabenraa",1.79433460881417,"2",49,7,"3034"
"148","Aabenraa",1.65968084376301,"3",49,2,"2024"
"149","Aabenraa",1.65968084376301,"3",49,2,"3034"
"150","Aabenraa",1.79182782175677,"3",49,2,"3034"
"151","Aabenraa",1.79182782175677,"3",49,2,"3034"
"152","Aabenraa",1.78613903882302,"2",49,3,"2024"
"153","Aabenraa",1.78613903882302,"2",49,3,"2529"
"154","Aabenraa",1.78613903882302,"2",49,3,"3034"
"155","Aabenraa",1.68184730320073,"1",49,3,"2024"
"156","Aabenraa",1.68184730320073,"1",49,3,"3034"
"157","Aabenraa",1.68184730320073,"1",49,3,"3034"
"158","Aabenraa",1.84932195301364,"1",49,3,"2024"
"159","Aabenraa",1.84932195301364,"1",49,3,"2529"
"160","Aabenraa",1.84932195301364,"1",49,3,"3034"
"161","Aabenraa",1.46292378602839,"2",49,5,"2529"
"162","Aabenraa",1.46292378602839,"2",49,5,"2529"
"163","Aabenraa",1.46292378602839,"2",49,5,"2529"
"164","Aabenraa",1.46292378602839,"2",49,5,"3539"
"165","Aabenraa",1.46292378602839,"2",49,5,"3539"
"166","Aabenraa",1.62876586658843,"3",49,1,"3034"
"167","Aabenraa",1.78686656166446,"2",49,2,"2529"
"168","Aabenraa",1.78686656166446,"2",49,2,"3034"
"169","Aalborg",1.47184662222631,"3",49,5,"2529"
"170","Aalborg",1.47184662222631,"3",49,5,"3034"
"171","Aalborg",1.47184662222631,"3",49,5,"3034"
"172","Aalborg",1.47184662222631,"3",49,5,"3034"
"173","Aalborg",1.47184662222631,"3",49,5,"3539"
"174","Aalborg",1.49416924861882,"2",49,2,"3034"
"175","Aalborg",1.49416924861882,"2",49,2,"4549"
"176","Aalborg",1.78977316002743,"3",49,4,"2529"
"177","Aalborg",1.78977316002743,"3",49,4,"2529"
"178","Aalborg",1.78977316002743,"3",49,4,"2529"
"179","Aalborg",1.78977316002743,"3",49,4,"3034"
"180","Aalborg",1.42391437725601,"3",49,2,"2529"
"181","Aalborg",1.42391437725601,"3",49,2,"2529"
"182","Aalborg",1.35903819922163,"1",49,1,"2529"
"183","Aalborg",1.39453429132719,"3",49,3,"2529"
"184","Aalborg",1.39453429132719,"3",49,3,"3034"
"185","Aalborg",1.39453429132719,"3",49,3,"3539"
"186","Aalborg",1.57180505521791,"3",49,2,"3539"
"187","Aalborg",1.57180505521791,"3",49,2,"4044"
"188","Aalborg",1.28607735695596,"3",49,3,"2024"
"189","Aalborg",1.28607735695596,"3",49,3,"3034"
"190","Aalborg",1.28607735695596,"3",49,3,"3034"
"191","Aalborg",1.55515549359506,"3",49,1,"4044"
"192","Aalborg",1.44559602470919,"1",49,1,"3034"
"193","Aalborg",1.41907726856283,"3",49,2,"2529"
"194","Aalborg",1.41907726856283,"3",49,2,"3034"
"195","Aalborg",1.70927521694281,"3",49,4,"2529"
"196","Aalborg",1.70927521694281,"3",49,4,"2529"
"197","Aalborg",1.70927521694281,"3",49,4,"3539"
"198","Aalborg",1.70927521694281,"3",49,4,"3539"
"199","Aalborg",1.66928846530502,"2",49,2,"2024"
"200","Aalborg",1.66928846530502,"2",49,2,"2529"
"201","Aalborg",1.21316266088853,"3",49,5,"2529"
"202","Aalborg",1.21316266088853,"3",49,5,"3034"
"203","Aalborg",1.21316266088853,"3",49,5,"3034"
"204","Aalborg",1.21316266088853,"3",49,5,"3539"
"205","Aalborg",1.21316266088853,"3",49,5,"3539"
"206","Aalborg",1.81419786676862,"1",49,1,"2529"
"207","Aalborg",2.10014399591308,"3",49,3,"2024"
"208","Aalborg",2.10014399591308,"3",49,3,"2529"
"209","Aalborg",2.10014399591308,"3",49,3,"4044"
"210","Aalborg",1.67383591618411,"2",49,2,"3034"
"211","Aalborg",1.67383591618411,"2",49,2,"3539"
"212","Aalborg",1.63893269537404,"2",49,4,"2529"
"213","Aalborg",1.63893269537404,"2",49,4,"3034"
"214","Aalborg",1.63893269537404,"2",49,4,"3034"
"215","Aalborg",1.63893269537404,"2",49,4,"3539"
"216","Aalborg",1.84845222747246,"1",49,3,"2529"
"217","Aalborg",1.84845222747246,"1",49,3,"2529"
"218","Aalborg",1.84845222747246,"1",49,3,"3034"
"219","Aalborg",1.17046965251131,"1",49,1,"3539"
"220","Aalborg",1.50121090677063,"3",49,1,"2024"
"221","Aalborg",1.6747482896458,"3",49,2,"2024"
"222","Aalborg",1.6747482896458,"3",49,2,"4044"
"223","Aalborg",1.57882331157061,"2",49,1,"3539"
"224","Aalborg",1.43324487028242,"1",49,2,"3034"
"225","Aalborg",1.43324487028242,"1",49,2,"3539"
"226","Aalborg",1.30456032158617,"1",49,2,"3034"
"227","Aalborg",1.30456032158617,"1",49,2,"3034"
"228","Aalborg",1.73321761147538,"3",49,1,"2529"
"229","Aalborg",1.53816166656563,"2",49,1,"2529"
"230","Aalborg",1.60180740926291,"3",49,3,"3034"
"231","Aalborg",1.60180740926291,"3",49,3,"3034"
"232","Aalborg",1.60180740926291,"3",49,3,"3539"
