Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aabenraa,1.5537426672092192,2,49,1,0,0,0,1,0,0,0
Aabenraa,1.8008218000886926,3,49,0,0,0,0,0,0,0,0
Aabenraa,1.7762740502972767,1,49,4,0,1,3,0,0,0,0
Aabenraa,1.6814993598330024,2,49,0,0,0,0,0,0,0,0
Aabenraa,1.7039034945003948,2,49,1,0,0,0,1,0,0,0
Aabenraa,1.8932729505294121,3,49,1,0,1,0,0,0,0,0
Aabenraa,2.015405033795942,3,49,3,0,0,1,1,1,0,0
Aalborg,1.5324544983316377,3,49,1,0,0,1,0,0,0,0
Aalborg,1.581536031158982,3,49,3,0,0,1,1,0,1,0
Aalborg,1.3631220702351645,1,49,3,0,0,2,0,0,1,0
Aalborg,1.7155304768949065,3,49,1,0,0,0,1,0,0,0
Aalborg,1.8332611521673463,3,49,1,0,0,0,1,0,0,0
Aalborg,1.80165245133202,3,49,4,0,1,1,2,0,0,0
Aalborg,1.687667384666769,3,49,2,0,0,2,0,0,0,0
Aalborg,1.7504782711676685,1,49,2,0,0,2,0,0,0,0
Aalborg,1.4755238643257957,1,49,2,0,0,0,2,0,0,0
Aalborg,1.3064528909066926,3,49,2,0,1,1,0,0,0,0
Aalborg,1.5020943252495136,3,49,3,0,0,2,0,0,1,0
Aalborg,1.4012428314879557,3,49,4,0,1,2,0,1,0,0
Aalborg,1.7050884260954564,3,49,1,0,0,1,0,0,0,0
Aalborg,1.570109112623107,3,49,5,0,0,1,3,0,1,0
Aalborg,1.8150204846330351,3,49,0,0,0,0,0,0,0,0
Aalborg,1.2816649036981398,3,49,2,0,1,0,1,0,0,0
Aalborg,1.5630585466838052,1,49,2,0,0,2,0,0,0,0
Aalborg,1.2351702002443166,1,49,2,0,0,0,2,0,0,0
Aalborg,1.818564745632276,1,49,4,0,0,2,2,0,0,0
Aalborg,1.510132377364952,2,49,2,0,1,0,1,0,0,0
Aalborg,1.7870095508669235,3,49,3,0,2,1,0,0,0,0
Aalborg,1.6031168581405637,3,49,0,0,0,0,0,0,0,0
Aalborg,1.6103708816256883,1,49,1,0,0,0,0,1,0,0
Aalborg,2.0645947445272945,3,49,2,0,0,1,1,0,0,0
Aalborg,1.7415857546971376,1,49,2,0,0,0,2,0,0,0
Aalborg,1.1349716534572756,3,49,0,0,0,0,0,0,0,0
Aalborg,1.4391404263312795,2,49,3,0,0,1,2,0,0,0
Aalborg,1.6614853238580658,3,49,2,0,0,1,0,1,0,0
Aalborg,1.702666132117557,2,49,1,0,1,0,0,0,0,0
Aalborg,1.4760005083331909,1,49,2,0,1,0,0,1,0,0
Aalborg,1.2779898733999904,3,49,2,0,0,0,2,0,0,0
Aalborg,1.5526384031931486,2,49,2,0,0,1,1,0,0,0
Aalborg,1.6976904941040618,3,49,2,0,0,0,1,1,0,0
Aalborg,1.4657663890532737,3,49,1,0,0,0,0,1,0,0
Aalborg,1.434233122854181,3,49,2,1,0,0,1,0,0,0
Aalborg,1.6494219673672592,3,49,4,0,0,1,2,1,0,0
Aalborg,1.7606610669176064,2,49,3,0,0,0,2,0,1,0
Aalborg,1.4837473820722062,3,49,4,0,0,2,2,0,0,0
Aalborg,1.6033681271326325,3,49,1,0,0,0,1,0,0,0
Aalborg,1.8008694094506668,2,49,2,0,0,0,2,0,0,0
Aalborg,1.4986366792382664,3,49,2,0,0,1,1,0,0,0
Aalborg,1.4912008207763185,3,49,2,0,0,1,1,0,0,0
Aalborg,1.7843211969825192,3,49,1,0,0,0,1,0,0,0
Aalborg,1.6238697298800928,3,49,4,0,1,1,2,0,0,0
Aalborg,1.6907131898325207,3,49,3,0,1,0,1,1,0,0
Aalborg,1.561674918523383,1,49,2,0,1,0,1,0,0,0
Aalborg,1.5857401653062748,2,49,2,0,0,1,1,0,0,0
Aalborg,1.8387051031464436,3,49,4,0,0,1,1,2,0,0
Aalborg,1.4103175457742192,3,49,1,0,0,0,1,0,0,0
Aalborg,1.6875139045621845,3,49,3,0,0,0,2,0,1,0
Aalborg,1.4333717828467971,3,49,0,0,0,0,0,0,0,0
Aalborg,1.5247840247450348,3,49,1,0,0,0,1,0,0,0
Aalborg,1.2834216791898203,1,49,2,0,0,1,1,0,0,0
Aalborg,1.6532939950807006,3,49,0,0,0,0,0,0,0,0
Aalborg,1.563529123342331,2,49,2,0,0,0,2,0,0,0
Aalborg,1.5225271820736415,2,49,2,0,0,0,1,1,0,0
Aalborg,1.4986181468623307,3,49,0,0,0,0,0,0,0,0
Aalborg,1.872234243600013,3,49,3,0,0,1,2,0,0,0
Aalborg,1.5604831689760152,1,49,1,0,0,1,0,0,0,0
Aalborg,1.7861404773369272,3,49,2,0,0,1,1,0,0,0
Aalborg,1.9562199995692604,2,49,3,0,1,0,1,1,0,0
Aalborg,1.4798802638790098,3,49,1,0,0,0,1,0,0,0
