Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aabenraa,1.7918278217567707,3,49,2,0,0,0,2,0,0,0
Aabenraa,1.7861390388230185,2,49,3,0,1,1,1,0,0,0
Aabenraa,1.681847303200733,1,49,3,0,1,0,2,0,0,0
Aabenraa,1.8493219530136402,1,49,3,0,1,1,1,0,0,0
Aabenraa,1.462923786028389,2,49,5,0,0,3,0,2,0,0
Aabenraa,1.6287658665884286,3,49,1,0,0,0,1,0,0,0
Aabenraa,1.7868665616644603,2,49,2,0,0,1,1,0,0,0
Aalborg,1.4718466222263085,3,49,5,0,0,1,3,1,0,0
Aalborg,1.5433939444352662,3,49,0,0,0,0,0,0,0,0
Aalborg,1.4941692486188232,2,49,2,0,0,0,1,0,0,1
Aalborg,1.7897731600274311,3,49,4,0,0,3,1,0,0,0
Aalborg,1.4239143772560061,3,49,2,0,0,2,0,0,0,0
Aalborg,1.359038199221628,1,49,1,0,0,1,0,0,0,0
Aalborg,1.3945342913271894,3,49,3,0,0,1,1,1,0,0
Aalborg,1.7871300127687062,3,49,0,0,0,0,0,0,0,0
Aalborg,1.5718050552179095,3,49,2,0,0,0,0,1,1,0
Aalborg,1.286077356955964,3,49,3,0,1,0,2,0,0,0
Aalborg,1.5551554935950553,3,49,1,0,0,0,0,0,1,0
Aalborg,1.445596024709187,1,49,1,0,0,0,1,0,0,0
Aalborg,1.4190772685628334,3,49,2,0,0,1,1,0,0,0
Aalborg,1.7092752169428105,3,49,4,0,0,2,0,2,0,0
Aalborg,1.6692884653050188,2,49,2,0,1,1,0,0,0,0
Aalborg,1.2131626608885264,3,49,5,0,0,1,2,2,0,0
Aalborg,1.8141978667686165,1,49,1,0,0,1,0,0,0,0
Aalborg,2.100143995913079,3,49,3,0,1,1,0,0,1,0
Aalborg,1.6738359161841099,2,49,2,0,0,0,1,1,0,0
Aalborg,1.4508669583871177,3,49,0,0,0,0,0,0,0,0
Aalborg,1.6389326953740353,2,49,4,0,0,1,2,1,0,0
Aalborg,1.8484522274724609,1,49,3,0,0,2,1,0,0,0
Aalborg,1.170469652511315,1,49,1,0,0,0,0,1,0,0
Aalborg,1.5012109067706285,3,49,1,0,1,0,0,0,0,0
Aalborg,1.6747482896457984,3,49,2,0,1,0,0,0,1,0
Aalborg,1.5788233115706094,2,49,1,0,0,0,0,1,0,0
Aalborg,1.4332448702824174,1,49,2,0,0,0,1,1,0,0
Aalborg,1.3045603215861685,1,49,2,0,0,0,2,0,0,0
Aalborg,1.7332176114753801,3,49,1,0,0,1,0,0,0,0
Aalborg,1.5381616665656273,2,49,1,0,0,1,0,0,0,0
Aalborg,1.6018074092629133,3,49,3,0,0,0,2,1,0,0
Aalborg,1.5228980993572219,3,49,1,0,0,0,1,0,0,0
Aalborg,1.9691399567402486,2,49,2,0,1,0,1,0,0,0
Aalborg,1.5425026144555711,2,49,5,0,2,1,1,0,1,0
Aalborg,1.498683491329955,1,49,3,0,2,1,0,0,0,0
Aalborg,1.5329900436231432,1,49,0,0,0,0,0,0,0,0
Aalborg,1.5386279468774868,2,49,3,0,0,1,2,0,0,0
Aalborg,1.282472758313638,1,49,4,0,0,1,0,3,0,0
Aalborg,1.4165337797649762,3,49,3,1,0,1,1,0,0,0
Aalborg,1.5748298505493807,3,49,3,0,0,0,2,1,0,0
Aalborg,1.6347483084076242,3,49,1,0,0,0,1,0,0,0
Aalborg,1.3118424483950581,3,49,1,0,0,1,0,0,0,0
Aalborg,1.8572695003538258,1,49,4,0,0,1,2,0,1,0
Aalborg,1.587869902814257,3,49,4,0,0,2,1,1,0,0
Aalborg,1.6344424436348222,3,49,2,0,0,0,2,0,0,0
Aalborg,1.459743034229518,2,49,1,0,0,0,0,1,0,0
Aalborg,1.68607139392825,3,49,0,0,0,0,0,0,0,0
Aalborg,1.4703145764809857,3,49,5,0,0,0,3,1,1,0
Aalborg,1.6766251709774167,3,49,2,0,0,1,1,0,0,0
Aalborg,1.4285127571420828,3,49,3,0,1,0,1,0,1,0
Aalborg,1.3578395729708626,3,49,2,0,0,1,1,0,0,0
Aalborg,1.785658547171558,3,49,1,0,1,0,0,0,0,0
Aalborg,1.5792509007492272,3,49,2,0,1,1,0,0,0,0
Aalborg,1.6040931033326709,3,49,3,0,0,1,0,2,0,0
Aalborg,1.6115969845742626,2,49,0,0,0,0,0,0,0,0
Aalborg,1.590196446627735,3,49,1,0,0,0,1,0,0,0
Aalborg,1.6176274359903815,3,49,2,0,0,0,1,0,1,0
Aalborg,1.7398890852437467,3,49,2,0,0,1,0,1,0,0
Aalborg,1.555648489082011,3,49,1,0,0,0,1,0,0,0
Aalborg,1.5291348429434897,3,49,2,0,0,1,1,0,0,0
Aalborg,1.2619613317944787,3,49,4,0,0,3,1,0,0,0
Aalborg,1.553989173320998,3,49,7,0,1,2,3,0,0,1
Aalborg,1.66673993715087,1,49,1,0,0,1,0,0,0,0
Aalborg,1.5645718102643524,1,49,1,0,0,1,0,0,0,0
Aalborg,1.552718573787685,2,49,1,0,0,1,0,0,0,0
Aalborg,1.3768370847201252,3,49,1,0,0,0,0,0,1,0
Aalborg,1.600073550567559,3,49,3,0,1,1,1,0,0,0
Aalborg,1.662230845101508,3,49,1,0,0,0,1,0,0,0
Aalborg,1.7745663543447652,3,49,4,0,0,1,2,1,0,0
Aalborg,1.8216219661618018,2,49,3,0,1,2,0,0,0,0
Aalborg,1.493689580088177,3,49,3,0,0,0,1,1,0,1
Aalborg,1.8777649157427034,1,49,0,0,0,0,0,0,0,0
Aalborg,1.7622050904759636,3,49,3,0,0,1,2,0,0,0
Aalborg,1.7647881432900998,2,49,2,0,0,0,1,1,0,0
Aalborg,1.5833082605577875,3,49,2,0,1,1,0,0,0,0
Aalborg,1.328921804586915,3,49,3,0,0,0,1,1,1,0
Aalborg,1.6089230058996198,3,49,3,0,0,0,1,2,0,0
Aalborg,1.7200711829643252,1,49,2,0,0,2,0,0,0,0
Aalborg,1.6451976228582201,3,49,5,0,0,2,2,1,0,0
Aalborg,1.4660219132387702,1,49,2,0,0,1,0,1,0,0
Aalborg,1.5476865287364168,3,49,2,0,0,1,1,0,0,0
Aalborg,1.6223587629188585,3,49,2,0,0,1,1,0,0,0
Aalborg,1.852555593801568,3,49,0,0,0,0,0,0,0,0
Aalborg,1.465147975834668,2,49,1,0,1,0,0,0,0,0
Aalborg,1.6012103863099985,3,49,3,0,0,2,0,1,0,0
Aalborg,1.5596744446406599,1,49,1,0,0,0,1,0,0,0
Aalborg,1.6811101971615707,3,49,0,0,0,0,0,0,0,0
Aalborg,1.7184067288532143,3,49,3,0,0,1,1,1,0,0
Aalborg,1.353783172331249,3,49,3,0,0,0,2,1,0,0
Aalborg,1.4028739951991631,3,49,1,0,0,0,1,0,0,0
Aalborg,1.742932504574177,3,49,2,0,1,1,0,0,0,0
Aalborg,1.600957835045901,3,49,2,0,0,1,0,1,0,0
Aalborg,1.7361191122783248,2,49,0,0,0,0,0,0,0,0
Aalborg,1.5227220721239383,2,49,2,0,0,1,1,0,0,0
Aalborg,1.8969457801904168,1,49,4,0,0,1,2,0,1,0
Aalborg,1.7850192870519064,3,49,2,0,0,1,1,0,0,0
