"","Municipality","Fertility.Rate","socio_economic_class","Age","Children","Age_Group"
"93","Aabenraa",1.64808583809115,"1",49,3,"3539"
"94","Aabenraa",1.7133511927887,"3",49,4,"2529"
"95","Aabenraa",1.7133511927887,"3",49,4,"2529"
"96","Aabenraa",1.7133511927887,"3",49,4,"2529"
"97","Aabenraa",1.7133511927887,"3",49,4,"3034"
"98","Aabenraa",1.62215657529752,"2",49,2,"2024"
"99","Aabenraa",1.62215657529752,"2",49,2,"3539"
"100","Aabenraa",1.68196317530382,"3",49,4,"2529"
"101","Aabenraa",1.68196317530382,"3",49,4,"2529"
"102","Aabenraa",1.68196317530382,"3",49,4,"3539"
"103","Aabenraa",1.68196317530382,"3",49,4,"3539"
"104","Aabenraa",1.80422235334605,"3",49,4,"2529"
"105","Aabenraa",1.80422235334605,"3",49,4,"3034"
"106","Aabenraa",1.80422235334605,"3",49,4,"3034"
"107","Aabenraa",1.80422235334605,"3",49,4,"3034"
"108","Aabenraa",1.91981742569252,"2",49,2,"3034"
"109","Aabenraa",1.91981742569252,"2",49,2,"3539"
"110","Aabenraa",1.79107830898287,"3",49,2,"2024"
"111","Aabenraa",1.79107830898287,"3",49,2,"3034"
"112","Aabenraa",1.55652196918902,"1",49,1,"2024"
"113","Aabenraa",1.63326747662955,"3",49,2,"2529"
"114","Aabenraa",1.63326747662955,"3",49,2,"3034"
"115","Aabenraa",1.87741805302817,"1",49,3,"2529"
"116","Aabenraa",1.87741805302817,"1",49,3,"2529"
"117","Aabenraa",1.87741805302817,"1",49,3,"3539"
"118","Aabenraa",1.4659500335114,"3",49,2,"2529"
"119","Aabenraa",1.4659500335114,"3",49,2,"2529"
"120","Aabenraa",1.84981593742852,"3",49,2,"2024"
"121","Aabenraa",1.84981593742852,"3",49,2,"2529"
"122","Aabenraa",1.59133922442615,"1",49,2,"2529"
"123","Aabenraa",1.59133922442615,"1",49,2,"3539"
"124","Aabenraa",1.40142037238137,"3",49,1,"2529"
"125","Aabenraa",1.79322503630048,"3",49,2,"3034"
"126","Aabenraa",1.79322503630048,"3",49,2,"3539"
"127","Aabenraa",1.66400843385169,"3",49,1,"3034"
"128","Aabenraa",1.98343315726598,"1",49,1,"3034"
"129","Aabenraa",1.50452406451754,"3",49,1,"3034"
"130","Aabenraa",1.76645929631517,"3",49,3,"2024"
"131","Aabenraa",1.76645929631517,"3",49,3,"2529"
"132","Aabenraa",1.76645929631517,"3",49,3,"3539"
"133","Aabenraa",1.86270595520226,"2",49,2,"2024"
"134","Aabenraa",1.86270595520226,"2",49,2,"2529"
"135","Aabenraa",1.38710512579992,"1",49,2,"2529"
"136","Aabenraa",1.38710512579992,"1",49,2,"3034"
"137","Aabenraa",1.73105143502988,"3",49,2,"2529"
"138","Aabenraa",1.73105143502988,"3",49,2,"3034"
"139","Aabenraa",1.61284743203654,"3",49,2,"2024"
"140","Aabenraa",1.61284743203654,"3",49,2,"2529"
"141","Aabenraa",1.49230958928232,"2",49,2,"3034"
"142","Aabenraa",1.49230958928232,"2",49,2,"3539"
"143","Aabenraa",1.91258538970413,"3",49,2,"2529"
"144","Aabenraa",1.91258538970413,"3",49,2,"3034"
"145","Aabenraa",1.68302828135426,"3",49,2,"3034"
"146","Aabenraa",1.68302828135426,"3",49,2,"3034"
"147","Aabenraa",1.55374266720922,"2",49,1,"3034"
"148","Aabenraa",1.77627405029728,"1",49,4,"2024"
"149","Aabenraa",1.77627405029728,"1",49,4,"2529"
"150","Aabenraa",1.77627405029728,"1",49,4,"2529"
"151","Aabenraa",1.77627405029728,"1",49,4,"2529"
"152","Aabenraa",1.70390349450039,"2",49,1,"3034"
"153","Aabenraa",1.89327295052941,"3",49,1,"2024"
"154","Aabenraa",2.01540503379594,"3",49,3,"2529"
"155","Aabenraa",2.01540503379594,"3",49,3,"3034"
"156","Aabenraa",2.01540503379594,"3",49,3,"3539"
"157","Aalborg",1.53245449833164,"3",49,1,"2529"
"158","Aalborg",1.58153603115898,"3",49,3,"2529"
"159","Aalborg",1.58153603115898,"3",49,3,"3034"
"160","Aalborg",1.58153603115898,"3",49,3,"4044"
"161","Aalborg",1.36312207023516,"1",49,3,"2529"
"162","Aalborg",1.36312207023516,"1",49,3,"2529"
"163","Aalborg",1.36312207023516,"1",49,3,"4044"
"164","Aalborg",1.71553047689491,"3",49,1,"3034"
"165","Aalborg",1.83326115216735,"3",49,1,"3034"
"166","Aalborg",1.80165245133202,"3",49,4,"2024"
"167","Aalborg",1.80165245133202,"3",49,4,"2529"
"168","Aalborg",1.80165245133202,"3",49,4,"3034"
"169","Aalborg",1.80165245133202,"3",49,4,"3034"
"170","Aalborg",1.68766738466677,"3",49,2,"2529"
"171","Aalborg",1.68766738466677,"3",49,2,"2529"
"172","Aalborg",1.75047827116767,"1",49,2,"2529"
"173","Aalborg",1.75047827116767,"1",49,2,"2529"
"174","Aalborg",1.4755238643258,"1",49,2,"3034"
"175","Aalborg",1.4755238643258,"1",49,2,"3034"
"176","Aalborg",1.30645289090669,"3",49,2,"2024"
"177","Aalborg",1.30645289090669,"3",49,2,"2529"
"178","Aalborg",1.50209432524951,"3",49,3,"2529"
"179","Aalborg",1.50209432524951,"3",49,3,"2529"
"180","Aalborg",1.50209432524951,"3",49,3,"4044"
"181","Aalborg",1.40124283148796,"3",49,4,"2024"
"182","Aalborg",1.40124283148796,"3",49,4,"2529"
"183","Aalborg",1.40124283148796,"3",49,4,"2529"
"184","Aalborg",1.40124283148796,"3",49,4,"3539"
"185","Aalborg",1.70508842609546,"3",49,1,"2529"
"186","Aalborg",1.57010911262311,"3",49,5,"2529"
"187","Aalborg",1.57010911262311,"3",49,5,"3034"
"188","Aalborg",1.57010911262311,"3",49,5,"3034"
"189","Aalborg",1.57010911262311,"3",49,5,"3034"
"190","Aalborg",1.57010911262311,"3",49,5,"4044"
"191","Aalborg",1.28166490369814,"3",49,2,"2024"
"192","Aalborg",1.28166490369814,"3",49,2,"3034"
"193","Aalborg",1.56305854668381,"1",49,2,"2529"
"194","Aalborg",1.56305854668381,"1",49,2,"2529"
"195","Aalborg",1.23517020024432,"1",49,2,"3034"
"196","Aalborg",1.23517020024432,"1",49,2,"3034"
"197","Aalborg",1.81856474563228,"1",49,4,"2529"
"198","Aalborg",1.81856474563228,"1",49,4,"2529"
"199","Aalborg",1.81856474563228,"1",49,4,"3034"
"200","Aalborg",1.81856474563228,"1",49,4,"3034"
"201","Aalborg",1.51013237736495,"2",49,2,"2024"
"202","Aalborg",1.51013237736495,"2",49,2,"3034"
"203","Aalborg",1.78700955086692,"3",49,3,"2024"
"204","Aalborg",1.78700955086692,"3",49,3,"2024"
"205","Aalborg",1.78700955086692,"3",49,3,"2529"
"206","Aalborg",1.61037088162569,"1",49,1,"3539"
"207","Aalborg",2.06459474452729,"3",49,2,"2529"
"208","Aalborg",2.06459474452729,"3",49,2,"3034"
"209","Aalborg",1.74158575469714,"1",49,2,"3034"
"210","Aalborg",1.74158575469714,"1",49,2,"3034"
"211","Aalborg",1.43914042633128,"2",49,3,"2529"
"212","Aalborg",1.43914042633128,"2",49,3,"3034"
"213","Aalborg",1.43914042633128,"2",49,3,"3034"
"214","Aalborg",1.66148532385807,"3",49,2,"2529"
"215","Aalborg",1.66148532385807,"3",49,2,"3539"
"216","Aalborg",1.70266613211756,"2",49,1,"2024"
"217","Aalborg",1.47600050833319,"1",49,2,"2024"
"218","Aalborg",1.47600050833319,"1",49,2,"3539"
"219","Aalborg",1.27798987339999,"3",49,2,"3034"
"220","Aalborg",1.27798987339999,"3",49,2,"3034"
"221","Aalborg",1.55263840319315,"2",49,2,"2529"
"222","Aalborg",1.55263840319315,"2",49,2,"3034"
"223","Aalborg",1.69769049410406,"3",49,2,"3034"
"224","Aalborg",1.69769049410406,"3",49,2,"3539"
"225","Aalborg",1.46576638905327,"3",49,1,"3539"
"226","Aalborg",1.43423312285418,"3",49,2,"1519"
"227","Aalborg",1.43423312285418,"3",49,2,"3034"
"228","Aalborg",1.64942196736726,"3",49,4,"2529"
"229","Aalborg",1.64942196736726,"3",49,4,"3034"
"230","Aalborg",1.64942196736726,"3",49,4,"3034"
"231","Aalborg",1.64942196736726,"3",49,4,"3539"
"232","Aalborg",1.76066106691761,"2",49,3,"3034"
"233","Aalborg",1.76066106691761,"2",49,3,"3034"
"234","Aalborg",1.76066106691761,"2",49,3,"4044"
"235","Aalborg",1.48374738207221,"3",49,4,"2529"
"236","Aalborg",1.48374738207221,"3",49,4,"2529"
"237","Aalborg",1.48374738207221,"3",49,4,"3034"
"238","Aalborg",1.48374738207221,"3",49,4,"3034"
"239","Aalborg",1.60336812713263,"3",49,1,"3034"
"240","Aalborg",1.80086940945067,"2",49,2,"3034"
"241","Aalborg",1.80086940945067,"2",49,2,"3034"
"242","Aalborg",1.49863667923827,"3",49,2,"2529"
"243","Aalborg",1.49863667923827,"3",49,2,"3034"
"244","Aalborg",1.49120082077632,"3",49,2,"2529"
"245","Aalborg",1.49120082077632,"3",49,2,"3034"
"246","Aalborg",1.78432119698252,"3",49,1,"3034"
"247","Aalborg",1.62386972988009,"3",49,4,"2024"
"248","Aalborg",1.62386972988009,"3",49,4,"2529"
"249","Aalborg",1.62386972988009,"3",49,4,"3034"
"250","Aalborg",1.62386972988009,"3",49,4,"3034"
"251","Aalborg",1.69071318983252,"3",49,3,"2024"
"252","Aalborg",1.69071318983252,"3",49,3,"3034"
"253","Aalborg",1.69071318983252,"3",49,3,"3539"
"254","Aalborg",1.56167491852338,"1",49,2,"2024"
"255","Aalborg",1.56167491852338,"1",49,2,"3034"
"256","Aalborg",1.58574016530627,"2",49,2,"2529"
"257","Aalborg",1.58574016530627,"2",49,2,"3034"
"258","Aalborg",1.83870510314644,"3",49,4,"2529"
"259","Aalborg",1.83870510314644,"3",49,4,"3034"
"260","Aalborg",1.83870510314644,"3",49,4,"3539"
"261","Aalborg",1.83870510314644,"3",49,4,"3539"
"262","Aalborg",1.41031754577422,"3",49,1,"3034"
"263","Aalborg",1.68751390456218,"3",49,3,"3034"
"264","Aalborg",1.68751390456218,"3",49,3,"3034"
"265","Aalborg",1.68751390456218,"3",49,3,"4044"
"266","Aalborg",1.52478402474503,"3",49,1,"3034"
"267","Aalborg",1.28342167918982,"1",49,2,"2529"
"268","Aalborg",1.28342167918982,"1",49,2,"3034"
"269","Aalborg",1.56352912334233,"2",49,2,"3034"
"270","Aalborg",1.56352912334233,"2",49,2,"3034"
"271","Aalborg",1.52252718207364,"2",49,2,"3034"
"272","Aalborg",1.52252718207364,"2",49,2,"3539"
"273","Aalborg",1.87223424360001,"3",49,3,"2529"
"274","Aalborg",1.87223424360001,"3",49,3,"3034"
"275","Aalborg",1.87223424360001,"3",49,3,"3034"
"276","Aalborg",1.56048316897602,"1",49,1,"2529"
"277","Aalborg",1.78614047733693,"3",49,2,"2529"
"278","Aalborg",1.78614047733693,"3",49,2,"3034"
"279","Aalborg",1.95621999956926,"2",49,3,"2024"
"280","Aalborg",1.95621999956926,"2",49,3,"3034"
"281","Aalborg",1.95621999956926,"2",49,3,"3539"
"282","Aalborg",1.47988026387901,"3",49,1,"3034"
"283","Aalborg",1.52797002322348,"2",49,5,"2024"
"284","Aalborg",1.52797002322348,"2",49,5,"2529"
"285","Aalborg",1.52797002322348,"2",49,5,"2529"
"286","Aalborg",1.52797002322348,"2",49,5,"3034"
"287","Aalborg",1.52797002322348,"2",49,5,"4044"
"288","Aalborg",1.42353253257095,"3",49,3,"2529"
"289","Aalborg",1.42353253257095,"3",49,3,"3034"
"290","Aalborg",1.42353253257095,"3",49,3,"3034"
"291","Aalborg",1.53919859863959,"3",49,2,"2529"
"292","Aalborg",1.53919859863959,"3",49,2,"3034"
"293","Aalborg",1.61352356875796,"3",49,4,"2529"
"294","Aalborg",1.61352356875796,"3",49,4,"3034"
"295","Aalborg",1.61352356875796,"3",49,4,"3034"
"296","Aalborg",1.61352356875796,"3",49,4,"3539"
"297","Aalborg",1.66206879425494,"3",49,3,"2529"
"298","Aalborg",1.66206879425494,"3",49,3,"3034"
"299","Aalborg",1.66206879425494,"3",49,3,"4044"
"300","Aalborg",1.77854578217233,"3",49,1,"1519"
"301","Aalborg",1.32359347232278,"2",49,3,"2024"
"302","Aalborg",1.32359347232278,"2",49,3,"2529"
"303","Aalborg",1.32359347232278,"2",49,3,"3034"
"304","Aalborg",1.53556764189013,"3",49,2,"3034"
"305","Aalborg",1.53556764189013,"3",49,2,"3034"
"306","Aalborg",1.49639320176018,"1",49,4,"2024"
"307","Aalborg",1.49639320176018,"1",49,4,"2529"
"308","Aalborg",1.49639320176018,"1",49,4,"2529"
"309","Aalborg",1.49639320176018,"1",49,4,"3034"
"310","Aalborg",1.96337574098976,"3",49,1,"2529"
"311","Aalborg",1.79207008924405,"3",49,3,"2529"
"312","Aalborg",1.79207008924405,"3",49,3,"3034"
"313","Aalborg",1.79207008924405,"3",49,3,"3539"
"314","Aalborg",1.42806196422407,"3",49,2,"2529"
"315","Aalborg",1.42806196422407,"3",49,2,"3034"
"316","Aalborg",1.32270967723962,"3",49,4,"2024"
"317","Aalborg",1.32270967723962,"3",49,4,"2529"
