"","socio_economic_class","Age_Group","condition","Children","percentage","acc_percentage"
"1","1","1519","Baseline",1913,0.392893011104927,0.392893011104927
"2","1","1519","Cashbenefit",1951,0.344395410414828,0.344395410414828
"3","1","1519","Cashbonus",2016,0.390221996829446,0.390221996829446
"4","1","2024","Baseline",18944,3.89072932690629,4.28362233801122
"5","1","2024","Cashbenefit",18282,3.22718446601942,3.57157987643425
"6","1","2024","Cashbonus",19799,3.83234390636221,4.22256590319165
"7","1","2529","Baseline",48493,9.95951949164204,14.2431418296533
"8","1","2529","Cashbenefit",49025,8.6540158870256,12.2255957634598
"9","1","2529","Cashbonus",53789,10.4115332279063,14.6340991310979
"10","1","3034","Baseline",36232,7.44134844660413,21.6844902762574
"11","1","3034","Cashbenefit",35213,6.21588702559576,18.4414827890556
"12","1","3034","Cashbonus",39301,7.6071997506915,22.2412988817894
"13","1","3539","Baseline",12984,2.66666118985174,24.3511514661091
"14","1","3539","Cashbenefit",12894,2.27608120035304,20.7175639894086
"15","1","3539","Cashbonus",13803,2.67174316579209,24.9130420475815
"16","1","4044","Baseline",2328,0.478125943466947,24.8292774095761
"17","1","4044","Cashbenefit",2601,0.459135039717564,21.1766990291262
"18","1","4044","Cashbonus",2079,0.402416434230366,25.3154584818119
"19","2","1519","Baseline",3094,0.635447452356845,25.4647248619329
"20","2","1519","Cashbenefit",7430,1.31156222418358,22.4882612533098
"21","2","1519","Cashbonus",2818,0.545459120568145,25.86091760238
"22","2","2024","Baseline",24353,5.00163277545127,30.4663576373842
"23","2","2024","Cashbenefit",30745,5.42718446601942,27.9154457193292
"24","2","2024","Cashbonus",25049,4.84854702310556,30.7094646254856
"25","2","2529","Baseline",66710,13.7009371514949,44.1672947888791
"26","2","2529","Cashbenefit",78426,13.8439541041483,41.7593998234775
"27","2","2529","Cashbonus",73871,14.2986553213234,45.008119946809
"28","2","3034","Baseline",62613,12.8594929975498,57.0267877864289
"29","2","3034","Cashbenefit",72582,12.8123565754634,54.5717563989409
"30","2","3034","Cashbonus",67675,13.0993420810678,58.1074620278769
"31","2","3539","Baseline",21350,4.3848749540461,61.411662740475
"32","2","3539","Cashbenefit",28042,4.95004413062665,59.5218005295675
"33","2","3539","Cashbonus",22422,4.34005833973703,62.4475203676139
"34","2","4044","Baseline",3829,0.786402163889579,62.1980649043645
"35","2","4044","Cashbenefit",8952,1.58022947925861,61.1020300088261
"36","2","4044","Cashbonus",3029,0.586300807736306,63.0338211753502
"37","2","4549","Cashbenefit",3775,0.666372462488967,61.7684024713151
"38","3","1519","Baseline",1834,0.376667946872157,62.5747328512367
"39","3","1519","Cashbenefit",5248,0.926390114739629,62.6947925860547
"40","3","1519","Cashbonus",1989,0.384995809371909,63.4188169847221
"41","3","2024","Baseline",17156,3.52350888578992,66.0982417370266
"42","3","2024","Cashbenefit",21487,3.79293909973522,66.4877316857899
"43","3","2024","Cashbonus",17522,3.39160209744323,66.8104190821654
"44","3","2529","Baseline",64978,13.3452180217334,79.44345975876
"45","3","2529","Cashbenefit",71202,12.5687555163283,79.0564872021183
"46","3","2529","Cashbonus",68657,13.2894204545235,80.0998395366888
"47","3","3034","Baseline",66739,13.7068931877322,93.1503529464922
"48","3","3034","Cashbenefit",73057,12.8962047661077,91.9526919682259
"49","3","3034","Cashbonus",70009,13.5511169523972,93.650956489086
"50","3","3539","Baseline",27589,5.66624426731512,98.8165972138073
"51","3","3539","Cashbenefit",33355,5.88790820829656,97.8406001765225
"52","3","3539","Cashbonus",28276,5.47317320553047,99.1241296946164
"53","3","4044","Baseline",5762,1.18340278619268,100
"54","3","4044","Cashbenefit",9503,1.677493380406,99.5180935569285
"55","3","4044","Cashbonus",4525,0.875870305383554,100
"56","3","4549","Cashbenefit",2730,0.481906443071492,100
